@relation Dataset_T2_16d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute label {0,1}

@data
0.009714,0.074974,0.680274,0.156444,0.042527,0.314249,0.100713,0.216895,0.001293,0.554167,0.277873,0.520987,0.193962,0.372829,0.001699,0.398523,1
0.008689,0.186764,0.635781,0.238914,0.136505,0.353971,0.140798,0.162886,0.011015,0.400611,0.277249,0.398353,0.143738,0.508141,0.001971,0.56842,1
0.01115,0.062376,0.54692,0.431447,0.018255,0.268993,0.131373,0.104407,0.006005,0.467526,0.276545,0.481531,0.09057,0.614697,0.000193,0.446494,1
0.00779,0.116538,0.580588,0.410187,0.032857,0.196105,0.123991,0.065585,0,0.368593,0.279588,0.406196,0.101978,0.513195,0,0.438797,1
0.005918,0.110534,0.482885,0.446738,0.045405,0.268108,0.100582,0.104625,0.017678,0.541933,0.274824,0.621196,0.083004,0.463912,0.003709,0.055995,1
0.201162,0.245046,0.50542,0.37095,0.185708,0.092957,0.159666,0.105804,0.084118,0.319101,0.248142,0.239308,0.073599,0.464408,0.181113,0.761257,0
0.36079,0.232668,0.526784,0.53052,0.137565,0.075305,0.144192,0.076228,0.082034,0.336592,0.273156,0.391989,0.084274,0.51288,0.198288,0.5955,0
0.318222,0.156127,0.607113,0.311299,0.086704,0.097498,0.127613,0.0533,0.081347,0.249449,0.274311,0.280909,0.064347,0.585744,0.204644,0.626615,0
0.361523,0.147317,0.400548,0.602498,0.088288,0.031803,0.121218,0.062864,0.084887,0.421408,0.275744,0.361381,0.042187,0.452572,0.225338,0.514136,0
0.320852,0.156559,0.227096,0.627516,0.114622,0.037682,0.109425,0.109368,0.108199,0.244341,0.277249,0.284998,0.145915,0.24955,0.234487,0.491673,0
0.007352,0.136466,0.67966,0.319639,0.105425,0.352549,0.127842,0.113637,0.086342,0.616167,0.216123,0.659866,0.085131,0.305857,0.117999,0.39495,0
0.011155,0.517423,0.651831,0.271264,0.266592,0.645471,0.223692,0.079808,0.080776,0.217909,0.22606,0.154311,0.079062,0.818057,0.090601,0.885199,0
0.0104,0.496564,0.624192,0.370885,0.37818,0.775669,0.18737,0.097995,0.10072,0.235739,0.213122,0.217599,0.04683,0.418383,0.099869,0.799385,0
0.009465,0.437702,0.735563,0.305036,0.331474,0.458826,0.167114,0.090763,0.08032,0.283188,0.234801,0.257589,0.046637,0.540898,0.090415,0.769857,0
0.009281,0.415014,0.712992,0.334084,0.324336,0.352645,0.187189,0.104156,0.089669,0.335931,0.202853,0.312263,0.069709,0.591357,0.082175,0.709498,0
0.008446,0.409536,0.746084,0.218343,0.243878,0.318977,0.175054,0.098826,0.052872,0.387498,0.238136,0.379594,0.071832,0.474571,0.072551,0.627018,0
0.010431,0.243456,0.394578,0.414092,0.065344,0.49185,0.228468,0.148256,0.080994,0.112776,0.198113,0.202142,0.149431,0.461895,0.130568,0.71221,0
0.00825,0.208145,0.392463,0.489802,0.111971,0.424978,0.19495,0.142384,0.078033,0.126295,0.232748,0.173206,0.125713,0.369103,0.135369,0.756383,0
0.008229,0.20753,0.467323,0.402946,0.200783,0.400014,0.176485,0.092146,0.098934,0.143421,0.243139,0.152276,0.097127,0.490156,0.109269,0.751945,0
0.006439,0.151282,0.571788,0.443296,0.182881,0.393486,0.138249,0.059678,0.076511,0.510168,0.248142,0.425418,0.055603,0.551171,0.085354,0.680805,0
0.002449,0.148518,0.488224,0.412405,0.066539,0.283919,0.13962,0.12253,0.032539,0.229376,0.241686,0.307636,0.130067,0.660244,0.081863,0.58982,0
