@relation Dataset_T2_16d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute label {0,1}

@data
0.178356,0.806107,0.485682,0.232322,1,0.446869,0.779682,0.057387,0.764249,0.210101,0.35015,0.335136,0.977337,0.631559,0.465278,0.213787,1
0.123631,0.728104,0.430634,0.210096,0.911644,0.294697,0.597567,0.290841,0.971153,0.045005,0.346795,0.428581,0.846513,0.458614,0.552275,0.407482,1
0.067299,0.675688,0.317054,0.268362,0.925352,0.314485,0.724303,0.492339,0.897082,0.112625,0.425514,0.327787,0.99295,0.405482,0.56497,0.557547,1
0.015739,0.609217,0.308642,0.266545,0.888043,0.29138,0.602605,0.408139,1,0.091452,0.521375,0.412056,0.909681,0.414086,0.396792,0.468784,1
0,0.55598,0.400527,0.216675,0.859125,0.279184,0.823282,0.277543,0.877261,0,0.293791,0.362342,0.743827,0.250152,0.556278,0.675714,1
0.363039,0.727987,0.457971,0.209198,0.301064,0.516998,0.43718,0.471996,0.738507,0.622111,0.666182,0.273796,0.288092,0.68516,0.541134,0.290444,0
0.356321,0.682925,0.425906,0.273342,0.314485,0.673042,0.621013,0.619424,0.644812,0.889768,0.802688,0.029656,0.392958,0.498949,0.461926,0.564452,0
0.318636,0.608716,0.536087,0.124221,0.224454,0.377396,0.399588,0.613795,0.807377,0.669963,0.704588,0.266965,0,1,0.579443,0.428077,0
0.20596,0.427302,0.506689,0.171261,0.008681,0.312479,0.187455,0.909466,0.677151,0.600729,0.464168,0.119892,0.535119,0.200738,0.406513,0.546288,0
0.243375,0.429398,0.603842,0.012541,0.039627,0.571038,0.082477,0.594054,0.603041,0.484261,0,0.057252,0.388497,0.621372,0,0.4576,0
0.305866,0.72884,0.432655,0.351383,0.310103,0.247687,0.860936,0.514434,0.645434,0.599842,0.622785,0.591235,0.667062,0.396424,0.759447,0.000903,0
0.289778,0.879954,0.24514,0.417615,0.579006,0.45264,0.303446,0.453813,0.620456,0.687369,0.645868,0.348519,0.506121,0.266762,0.897083,0.477797,0
0.275412,0.869598,0.1916,0.498152,0.576908,0.445726,0.343844,0.477247,0.519587,0.725362,0.568863,0.375176,0.412898,0.239078,0.734197,0.564046,0
0.233735,0.786795,0.174452,0.516806,0.456923,0.536371,0.506786,0.418642,0.596657,0.546671,0.817898,0.57471,0.630316,0.339519,0.57259,0.483301,0
0.17248,0.724904,0.118501,0.553102,0.628096,0.396726,0.487388,0.340455,0.667049,0.727671,0.485233,0.472108,0.516429,0.29082,0.787251,0.3202,0
0.229431,0.769685,0.174428,0.539821,0.600818,0.451935,0.60963,0.222967,0.647841,0.911153,0.388158,0.4039,0.562239,0.40448,0.732022,0.372408,0
0.384318,0.914972,0.332757,0.380545,0.455179,0.745663,0.443673,0.183177,0.667499,0.652262,0.459221,0.821593,0.666202,0.452716,0.599133,0.439149,0
0.365763,0.906801,0.426121,0.318468,0.491103,0.760387,0.472225,0.210554,0.666245,0.605387,0.703637,0.627051,0.6947,0.216458,0.638464,0.32617,0
0.293488,0.850274,0.369179,0.272999,0.636323,0.609718,0.386141,0.335645,0.546808,0.77625,0.766729,0.503064,0.551253,0.345424,0.726968,0.482098,0
0.200471,0.754002,0.289316,0.343861,0.550577,0.281094,0.510842,0.675799,0.573118,0.784407,0.781624,0.490204,0.774783,0.450086,0.522054,0.459379,0
0.222313,0.739753,0.416223,0.210167,0.661704,0.461745,0.546744,0.468148,0.637651,0.708259,0.616356,0.500339,0.697826,0.402762,0.767688,0.2153,0
0.259594,0.666396,0.297072,0.458261,0.358765,0.664287,0.866163,0.433524,0.682896,0.980161,0.524928,0.42459,0.572093,0.240877,0.812054,0.554859,1
0.206411,0.673262,0.174518,0.525822,0.420936,0.619621,0.698024,0.411152,0.695609,0.626299,0.670607,0.41162,0.674565,0.397025,0.646832,0.285435,1
0.148319,0.567114,0.284792,0.407687,0.390227,0.49156,0.729735,0.413026,0.785083,0.588967,0.710321,0.427963,0.452385,0.379392,0.771538,0.436674,1
0.181446,0.619518,0.281638,0.472335,0.429955,0.5321,0.840685,0.555692,0.642034,0.624764,0.667808,0.62546,0.467571,0.24555,0.639449,0.306331,1
0.302037,0.720761,0.482778,0.217368,0.278144,0.379632,0.609289,0.639968,0.741018,0.587997,0.641318,0.51784,0.502882,0.337427,0.869188,0.26769,1
0.201642,0.628854,0.315932,0.350711,0.327116,0.3691,0.70997,0.387345,0.67569,0.531032,0.691544,0.72447,0.509667,0.694214,0.727322,0.324913,1
0.228782,0.619534,0.391694,0.327558,0.336792,0.41843,0.863908,0.506814,0.571977,0.588258,0.537065,0.474928,0.342182,0.494898,0.750982,0.287,1
0.350531,0.846136,0.244565,0.556388,0.354192,0.565843,0.813409,0.436414,0.601122,0.676092,0.355223,0.725293,0.661026,0.674073,0.598809,0.62568,1
0.326018,0.868598,0.257677,0.565769,0.451408,0.591561,0.676015,0.453744,0.60887,0.565658,0.742185,0.573532,0.59396,0.190455,0.73179,0.690531,1
0.256716,0.775269,0.16666,0.585173,0.509237,0.68268,0.67957,0.273742,0.520222,0.437363,0.646189,0.868095,0.399011,0.340682,0.406531,0.240148,1
0.2172,0.768005,0.272105,0.438443,0.501006,0.051714,0.692097,0.792758,0.483165,0.807518,0.619138,0.749746,0.466384,0.240089,0.478576,0.41521,1
0.190777,0.684312,0.316066,0.308923,0.52684,0.249515,0.635224,0.505246,0.500532,0.69852,0.561828,0.755284,0.347621,0.341432,0.353205,0.298207,1
0.392836,0.97716,0.425089,0.330004,0.521698,0.315323,0.783208,0.481959,0.683251,1,0.113911,0.630651,0.90581,0.627351,0.53773,0.44429,0
0.350857,0.928122,0.367576,0.365293,0.5533,0.380562,0.607195,0.45014,0.670022,0.80729,0.38386,0.41931,0.661032,0.492304,0.683722,0.154328,0
0.243721,0.792337,0.263455,0.475478,0.517389,0.200043,0.745988,0.544385,0.594731,0.865971,0.455879,0.368156,0.662923,0.350395,0.602125,0.375257,0
0.224726,0.712885,0.309347,0.479511,0.344678,0.194368,0.955824,0.517993,0.73347,0.635602,0.576173,0.693155,0.594969,0.329469,0.561571,0.452935,0
0.254778,0.751753,0.226463,0.581996,0.350883,0.333596,0.849999,0.546953,0.657579,0.75326,0.645738,0.728225,0.674028,0.270234,0.460096,0.312374,0
0.445809,0.91921,0.410271,0.387065,0.323408,0.497625,0.582807,0.437757,0.636315,0.378299,0.439758,0.258045,0.456973,0.324462,0.630697,0.317834,0
0.388096,0.824948,0.304177,0.521392,0.250616,0.306388,0.5886,0.49116,0.585087,0.421692,0.562304,0.270303,0.266097,0.345516,0.699826,0.550602,0
0.275232,0.681259,0.253637,0.502211,0.093447,0.368821,0.385833,0.760849,0.526671,0.471603,0.207425,0.542759,0.666197,0.329733,0.648828,0.474626,0
0.218682,0.566584,0.30526,0.438647,0.079883,0.250626,0.524964,0.478234,0.497204,0.527736,0.111254,0.778518,0.751596,0.814011,0.842672,0.467603,0
0.43368,0.94572,0.3258,0.443443,0.272132,0.27134,0.599744,0.258969,0.617168,0.248965,0.486592,0.575243,0.521949,0.07768,0.646611,0.538707,0
0.391135,0.901678,0.254586,0.577651,0.219549,0.132747,0.632351,0.43425,0.493594,0.406523,0.511326,0.68032,0.258022,0.064031,0.604626,0.424563,0
0.36818,0.866807,0.297382,0.469131,0.290787,0.182142,0.693419,0.545421,0.522535,0.429786,0.828749,0.581617,0.444637,0.464737,0.488705,0.321585,0
0.40395,0.873116,0.300784,0.522748,0.26123,0.268182,0.683063,0.40096,0.533229,0.620893,0.505456,0.513456,0.627161,0.240442,0.649269,0.283489,0
0.409388,0.858782,0.317193,0.563723,0.205035,0.306062,0.787896,0.480912,0.564462,0.818528,0.466542,0.662858,0.636576,0.792496,0.749673,0.234803,0
0.419163,0.933799,0.324902,0.501155,0.302055,0.328291,0.686309,0.270995,0.552151,0.330361,0.568074,0.385598,0.469879,0.299469,0.546513,0.432018,0
0.388839,0.90022,0.264239,0.539405,0.29738,0.311048,0.796764,0.312177,0.463728,0.54405,0.535672,0.382661,0.368575,0.299707,0.538409,0.82406,0
0.368487,0.907907,0.275491,0.548419,0.2847,0.177988,0.728105,0.456655,0.564881,0.500159,0.696447,0.396536,0.560592,0.244295,0.645085,0.603179,0
0.317011,0.80366,0.239604,0.583758,0.202491,0.227038,0.744979,0.591203,0.439865,0.500335,0.420384,0.548855,0.967324,0.388818,0.68865,0.61042,0
0.263703,0.708982,0.396449,0.356145,0.242216,0.23866,0.531437,0.364091,0.369295,0.303345,0.419281,0.663526,0.80872,0.484368,0.568923,0.223494,0
0.328844,0.866839,0.403261,0.333097,0.477208,0.425137,0.468077,0.286065,0.659118,0.479904,0.755935,0.607712,0.783108,0.792773,0.965967,0.55344,0
0.327903,0.902898,0.3088,0.422279,0.617266,0.468207,0.58536,0.493393,0.367425,0.818343,0.635904,0.429221,0.794743,0.315164,0.616656,0.523957,0
0.267902,0.821852,0.265907,0.391216,0.591487,0.438517,0.525984,0.482362,0.466507,0.739729,0.69124,0.567384,0.522194,0.553273,0.439072,0.565219,0
0.154642,0.614937,0.360378,0.252449,0.471166,0.183951,0.576776,0.51078,0.673865,0.711741,0.686761,0.705248,0.479216,0.610888,0.805922,0.588243,0
0.183337,0.649054,0.372546,0.299823,0.493607,0.403114,0.537493,0.327773,0.350958,0.777685,0.301636,0.741927,0.743257,0.561495,0.612449,0.691759,0
0.313577,0.894728,0.288576,0.389207,0.567106,0.449364,0.499503,0.412369,0.559499,0.766071,0.498319,0.345486,0.689944,0.141706,0.524085,0.699241,0
0.342885,0.913507,0.27435,0.499138,0.478603,0.708553,0.593849,0.379555,0.619209,0.427886,0.658818,0.500274,0.695528,0.310047,0.553007,0.550508,0
0.30437,0.870083,0.220343,0.496368,0.512018,0.636766,0.379404,0.298876,0.636366,0.35355,0.777194,0.487155,0.771311,0.360249,0.724382,0.227011,0
0.260988,0.826528,0.210103,0.470577,0.593002,0.381935,0.458493,0.344107,0.523308,0.621893,0.604046,0.357733,0.58412,0.376687,0.794941,0.409742,0
0.233359,0.782034,0.226732,0.478819,0.4804,0,0.685157,0.685567,0.447474,0.611081,0.618326,0.507565,0.537036,0.399269,0.41717,0.446844,0
0.249309,0.786109,0.414174,0.179464,0.526134,0.458629,0,0.500559,0.512085,0.569053,0.488222,0.744939,0.938358,0.799889,0.891568,0.589861,0
