@relation Dataset_T2_16d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.94332,0.236756,1,0.076171,0.317488,0.838777,1,0.687061,1,0.090723,0.686649,0.901629,0.289683,0.140047,0.074272,0.12981,1
0.907576,0.283451,1,0.147247,0.356602,0.778582,1,0.653003,1,0.064138,0.652611,0.933376,0.339953,0.222219,0.076768,0.030095,1
0.849362,0.367752,1,0.202972,0.426358,0.733011,1,0.58663,1,0.012785,0.586278,0.982487,0.407129,0.28032,0.058326,0.058732,1
1,0.183331,1,0.019961,0.270744,0.847303,1,0.736417,1,0.036207,0.735975,0.960997,0.264921,0.071236,0.086986,0.022361,1
0.873687,0.356063,1,0.142974,0.414801,0.726589,1,0.596912,1,0.136487,0.596554,0.839577,0.403981,0.18249,0.157207,0.054233,1
0.586293,0.654226,0,0.334305,0.670221,0.354941,0.380389,0.33998,0.108549,0.09045,0.339776,0.921502,0.604205,0.289621,0.112513,0.11817,0
0.52072,0.698976,0,0.389468,0.710732,0.257194,0.475462,0.306966,0.051966,0.145987,0.306782,0.862197,0.654243,0.315729,0.168628,0.108691,0
0.531568,0.692499,0,0.363267,0.704564,0.324069,0.77871,0.313765,0.068881,0.138439,0.313576,0.869501,0.626541,0.306542,0.115097,0.122487,0
0.257526,0.863275,0,0.512266,0.592072,0.395071,0.846059,0.291154,0.085066,0.144932,0.435778,0.862529,0.816893,0.523688,0.167119,0.099388,0
0.180155,0.929591,0,0.499779,0.563347,0.455493,0.867226,0.24835,0.040721,0.168352,0.452154,0.832616,0.860214,0.544199,0.136951,0.181095,0
0.531499,0.690246,0,0.41509,0.703084,0.331883,0.213193,0.313235,0.138694,0.265684,0.313047,0.722637,0.652487,0.379816,0.249017,0.191958,0
0.566185,0.644727,1,0.461041,0.665225,0.388069,1,0.354693,1,0.061447,0.35448,0.948888,0.637271,0.462047,0.075697,0.070455,0
0.643048,0.601764,1,0.379212,0.624096,0.44363,1,0.39412,1,0.087326,0.393884,0.911442,0.605877,0.389622,0.125677,0.089521,0
0.597528,0.637439,0.000001,0.432909,0.656038,0.383652,0.557421,0.361304,0.454955,0.101786,0.361087,0.90369,0.649223,0.423948,0.159,0.041771,0
0.6398,0.607167,1,0.384171,0.628746,0.374203,1,0.385065,1,0.186988,0.384834,0.823621,0.638214,0.361953,0.236179,0.095502,0
0.552987,0.676865,1,0.466422,0.690538,0.306789,1,0.326177,1,0.236683,0.325981,0.768151,0.694926,0.434237,0.252007,0.164886,0
0.525543,0.693571,0,0.398652,0.706122,0.325027,0.557421,0.311865,0.454955,0.197977,0.311678,0.795355,0.646026,0.357897,0.155735,0.185164,0
