@relation Dataset_T2_2d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute label {0,1}

@data
0.009714,0.074974,1
0.008689,0.186764,1
0.01115,0.062376,1
0.00779,0.116538,1
0.005918,0.110534,1
0.201162,0.245046,0
0.36079,0.232668,0
0.318222,0.156127,0
0.361523,0.147317,0
0.320852,0.156559,0
0.007352,0.136466,0
0.011155,0.517423,0
0.0104,0.496564,0
0.009465,0.437702,0
0.009281,0.415014,0
0.008446,0.409536,0
0.010431,0.243456,0
0.00825,0.208145,0
0.008229,0.20753,0
0.006439,0.151282,0
0.002449,0.148518,0
0.035546,0.315373,1
0.021903,0.408209,1
0.021066,0.325089,1
0.009975,0.146467,1
0.008567,0.146877,1
0.007886,0.155876,1
0.00841,0.120421,1
0.014368,0.569412,1
0.014552,0.851552,1
0.01405,0.359037,1
0.009073,0.156062,1
0.002973,0.165265,1
0.005366,0.447224,0
0.007336,0.132308,0
0.01309,0.228089,0
0.014621,0.450986,0
0.015291,0.441881,0
0.032689,1,0
0.033733,0.899056,0
0.02407,0.399658,0
0.029594,0.236219,0
0.004395,0.695411,0
0.007228,0.295787,0
0.006312,0.161004,0
0.014735,0.132444,0
0.007196,0.211994,0
0.009409,0.554576,0
0.01379,0.623983,0
0.005473,0.459771,0
0.007925,0.374086,0
0.002662,0.19748,0
0.006408,0.494545,0
0.007741,0.428695,0
0.009294,0.370363,0
0.007289,0.148143,0
0.003686,0.303368,0
0.012697,0.429486,0
0.00894,0.591327,0
0.011984,0.754849,0
0.009579,0.379658,0
0.007058,0.267964,0
0.0041,0.259264,0
0.004276,0.251034,0
0.006352,0.249312,0
0.00489,0.239587,0
0.005351,0.247619,0
0.011274,0.741689,0
0.009326,0.45449,0
0.010768,0.420475,0
0.008495,0.780276,0
0.005969,0.509361,0
0.009846,0.339812,1
0.010118,0.666219,1
0.007625,0.410965,1
0.00537,0.13235,1
0.030396,0.379372,1
0.011157,0.271043,1
0.006948,0.404111,0
0.008582,0.156483,0
0.008874,0.238368,0
0.0097,0.279375,0
0.007014,0.37386,0
0.01354,0.224667,1
0.00962,0.122327,1
0.009525,0.082307,1
0.008106,0.046979,1
0.003819,0.117274,1
0.012536,0.781706,0
0.009351,0.852096,0
0.010316,0.692904,0
0.011384,0.315525,0
0.005202,0.249129,0
0.032387,0.634822,0
0.023899,0.330837,0
0.022778,0.27992,0
0.011385,0.169134,0
0.008878,0.250313,0
0.006474,0.466184,0
0.009025,0.34492,0
0.010317,0.183561,0
0.006258,0.211913,0
0.006987,0.29614,0
0.011858,0.202763,1
0.011193,0.082827,1
0.011703,0.021232,1
0.008094,0.110239,1
0.006281,0.512541,1
0.007059,0.418036,1
0.006865,0.365144,1
0.007171,0.126648,1
0.006182,0.287949,1
0.008216,0.434361,1
0.047091,0.400575,1
0.013508,0.343597,1
0.009776,0.323046,1
0.014459,0.253205,1
0.01481,0.649829,0
0.010235,0.291325,0
0.013026,0.13175,0
0.013323,0.227206,0
0.009579,0.493984,0
0.003545,0.434457,0
0.002255,0.345515,0
0.003885,0.544932,0
0.002533,0.807255,0
0.002916,0.780705,0
0.007208,0.356416,1
0.011774,0.265128,1
0.011475,0.242716,1
0.010515,0.328914,1
0.005369,0.310619,0
0.006025,0.188494,0
0.005793,0.323273,0
0.004731,0.147261,0
0.002367,0.159002,0
0.009743,0.270579,1
0.01093,0.200713,1
0.009333,0.202297,1
0.006324,0.1315,1
0.008879,0.204606,1
0.007991,0.986759,0
0.006116,0.521123,0
0.007605,0.427776,0
0.00943,0.412657,0
0.005939,0.21467,0
0.009692,0.157361,0
0.009358,0.25205,0
0.010917,0.24363,0
0.004069,0.127673,0
0.023298,0.268775,0
0.00659,0.244894,1
0.005747,0.090018,1
0.008427,0.111862,1
0.008221,0.085186,1
0.004696,0.096,1
0.008112,0.189033,0
0.010692,0.446356,0
0.010781,0.160399,0
0.006692,0.087697,0
0.00845,0.223867,0
0.002438,0.316282,0
0.010106,0.222293,0
0.009475,0.267946,0
0.006779,0.214821,0
0.002867,0.209798,0
0.004257,0.340207,0
0.005858,0.418483,0
0.0093,0.356021,0
0.013601,0.207911,0
