@relation Dataset_T2_2d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute label {0,1}

@data
0.178356,0.806107,1
0.123631,0.728104,1
0.067299,0.675688,1
0.015739,0.609217,1
0,0.55598,1
0.363039,0.727987,0
0.356321,0.682925,0
0.318636,0.608716,0
0.20596,0.427302,0
0.243375,0.429398,0
0.305866,0.72884,0
0.289778,0.879954,0
0.275412,0.869598,0
0.233735,0.786795,0
0.17248,0.724904,0
0.229431,0.769685,0
0.384318,0.914972,0
0.365763,0.906801,0
0.293488,0.850274,0
0.200471,0.754002,0
0.222313,0.739753,0
0.259594,0.666396,1
0.206411,0.673262,1
0.148319,0.567114,1
0.181446,0.619518,1
0.302037,0.720761,1
0.201642,0.628854,1
0.228782,0.619534,1
0.350531,0.846136,1
0.326018,0.868598,1
0.256716,0.775269,1
0.2172,0.768005,1
0.190777,0.684312,1
0.392836,0.97716,0
0.350857,0.928122,0
0.243721,0.792337,0
0.224726,0.712885,0
0.254778,0.751753,0
0.445809,0.91921,0
0.388096,0.824948,0
0.275232,0.681259,0
0.218682,0.566584,0
0.43368,0.94572,0
0.391135,0.901678,0
0.36818,0.866807,0
0.40395,0.873116,0
0.409388,0.858782,0
0.419163,0.933799,0
0.388839,0.90022,0
0.368487,0.907907,0
0.317011,0.80366,0
0.263703,0.708982,0
0.328844,0.866839,0
0.327903,0.902898,0
0.267902,0.821852,0
0.154642,0.614937,0
0.183337,0.649054,0
0.313577,0.894728,0
0.342885,0.913507,0
0.30437,0.870083,0
0.260988,0.826528,0
0.233359,0.782034,0
0.249309,0.786109,0
0.232988,0.75505,0
0.15495,0.654312,0
0.143386,0.654119,0
0.322265,0.897449,0
0.305242,0.916231,0
0.28656,0.880659,0
0.265919,0.833745,0
0.218451,0.791562,0
0.218476,0.731276,0
0.285927,0.870365,1
0.238207,0.825811,1
0.204098,0.767634,1
0.158309,0.607895,1
0.383802,0.827987,1
0.287028,0.720342,1
0.318712,0.849451,0
0.256934,0.785907,0
0.165224,0.643096,0
0.073483,0.505905,0
0.143342,0.563604,0
0.357757,0.804968,1
0.329271,0.823624,1
0.236394,0.708098,1
0.100956,0.508824,1
0.176627,0.661605,1
0.373613,0.964368,0
0.350172,0.937033,0
0.332733,0.938416,0
0.306866,0.897413,0
0.288684,0.885711,0
0.375984,0.8019,0
0.367716,0.79113,0
0.262541,0.686326,0
0.199451,0.61113,0
0.242035,0.634352,0
0.390824,0.940196,0
0.311296,0.855353,0
0.329953,0.850316,0
0.252552,0.713466,0
0.288728,0.679138,0
0.244566,0.80121,1
0.198009,0.75889,1
0.128809,0.672227,1
0.112247,0.629409,1
0.379932,0.934455,1
0.359675,0.942886,1
0.340777,0.895963,1
0.31043,0.844843,1
0.283989,0.77051,1
0.351788,0.864294,1
0.304743,0.801927,1
0.239828,0.755746,1
0.206098,0.715667,1
0.241734,0.729296,1
0.273073,0.854694,0
0.224205,0.788026,0
0.211677,0.780601,0
0.209251,0.785535,0
0.194609,0.70564,0
0.40821,1,0
0.376319,0.968588,0
0.328831,0.889467,0
0.294671,0.838454,0
0.30479,0.809472,0
0.249166,0.736618,1
0.211816,0.639104,1
0.182798,0.583899,1
0.137028,0.517156,1
0.380426,0.893154,0
0.339306,0.837091,0
0.289036,0.800374,0
0.261416,0.793486,0
0.253565,0.749696,0
0.212712,0.731291,1
0.202469,0.674066,1
0.151631,0.600036,1
0.105391,0.517444,1
0.1697,0.521114,1
0.34432,0.916474,0
0.312065,0.870856,0
0.238103,0.801488,0
0.251366,0.810717,0
0.19927,0.695492,0
0.391495,0.841507,0
0.384081,0.805708,0
0.361968,0.769053,0
0.336338,0.746593,0
0.320052,0.669389,0
0.395848,0.928592,1
0.341798,0.851763,1
0.301799,0.847207,1
0.23979,0.7796,1
0.232139,0.740478,1
0.276301,0.838529,0
0.211174,0.750771,0
0.128308,0.645924,0
0.117477,0.586355,0
0.094484,0.49641,0
0.324277,0.911039,0
0.265116,0.840064,0
0.203959,0.786224,0
0.178348,0.736618,0
0.22884,0.716653,0
0.335557,0.94611,0
0.273592,0.863151,0
0.243761,0.829063,0
0.191827,0.726368,0
0.237024,0.724785,0
0.365881,0.942077,0
0.298977,0.824622,0
0.292479,0.804756,0
0.417127,0.923008,0
0.413399,0.93376,0
0.329863,0.83728,0
0.208464,0.660188,0
0.207532,0.58603,0
0.189643,0.611375,0
0.15324,0.611457,0
0.107215,0.549497,0
0.05823,0.505006,0
0.236854,0.668624,0
0.283239,0.872309,0
0.256467,0.870399,0
0.206967,0.810305,0
0.109925,0.648362,0
0.119212,0.655699,0
0.371049,0.695662,1
0.355961,0.625301,1
0.316694,0.63774,1
0.323105,0.625217,1
0.288675,0.848848,1
0.217616,0.765509,1
0.200683,0.695973,1
0.148161,0.606645,1
0.197674,0.656577,1
0.439987,0.834634,1
0.372142,0.861921,1
0.328182,0.741154,1
0.281489,0.631984,1
0.238591,0.759037,1
0.16712,0.667065,1
0.098612,0.587387,1
0.106527,0.572377,1
0.130868,0.578927,1
0.04282,0.528811,1
0.074164,0.583868,1
0.214508,0.641898,0
0.183396,0.59481,0
0.175335,0.594823,0
0.127574,0.49545,0
0.192331,0.562638,0
0.366607,0.904489,0
0.343648,0.890372,0
0.301113,0.855192,0
0.204863,0.77286,0
0.251242,0.824796,0
0.354157,0.825802,0
0.340933,0.820143,0
0.290179,0.730907,0
0.196999,0.63931,0
0.378928,0.895768,0
0.313375,0.829722,0
0.272032,0.777021,0
0.288342,0.813295,0
0.226758,0.712542,0
