@relation Dataset_T2_2d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.94332,0.236756,1
0.907576,0.283451,1
0.849362,0.367752,1
1,0.183331,1
0.873687,0.356063,1
0.586293,0.654226,0
0.52072,0.698976,0
0.531568,0.692499,0
0.257526,0.863275,0
0.180155,0.929591,0
0.531499,0.690246,0
0.566185,0.644727,0
0.643048,0.601764,0
0.597528,0.637439,0
0.6398,0.607167,0
0.552987,0.676865,0
0.525543,0.693571,0
0.632401,0.618145,0
0.569678,0.659627,0
0.660931,0.587179,0
0.65696,0.59318,0
0.513204,0.700267,1
0.641287,0.610053,1
0.717276,0.54569,1
0.644762,0.61055,1
0.494853,0.710529,1
0.495599,0.716586,1
0.57461,0.661959,1
0.452788,0.724491,1
0.563506,0.647997,1
0.515418,0.693671,1
0.57532,0.649361,1
0.541551,0.673747,1
0.525485,0.694233,0
0.564488,0.66862,0
0.620251,0.623748,0
0.587923,0.653001,0
0.605501,0.636598,0
0.503357,0.713434,0
0.55926,0.670067,0
0.153584,0.930807,0
0.192557,0.895313,0
0.42278,0.769997,0
0.417228,0.764265,0
0.418638,0.75761,0
0.420135,0.76386,0
0.425045,0.764083,0
0.454352,0.744683,0
0.417999,0.756472,0
0.467129,0.7256,0
0.507795,0.682994,0
0.483825,0.709718,0
0.67232,0.579768,0
0.636113,0.608036,0
0.609357,0.621999,0
0.620912,0.622108,0
0.59315,0.626791,0
0.573617,0.654452,0
0.714373,0.547692,0
0.688,0.5751,0
0.6197,0.626198,0
0.691094,0.56093,0
0.690251,0.528909,0
0.626119,0.564068,0
0.64488,0.557334,0
0.709387,0.545322,0
0.761148,0.508889,0
0.754274,0.513267,0
0.633855,0.611854,0
0.711859,0.546342,0
0.729821,0.534641,0
0.766288,0.500634,0
0.730467,0.517964,1
0.715614,0.530075,1
0.745058,0.519667,1
0.628142,0.617782,1
0.430143,0.757533,1
0.496521,0.718488,1
0.691855,0.567317,0
0.682998,0.57416,0
0.556252,0.671384,0
0.634588,0.58845,0
0.580773,0.637599,0
0.619068,0.629031,1
0.526242,0.694912,1
0.453841,0.742802,1
0.543342,0.677624,1
0.553737,0.66707,1
0.488177,0.731068,0
0.34322,0.821052,0
0.401715,0.789329,0
0.440082,0.757609,0
0.539179,0.688006,0
0.411525,0.77203,0
0.376444,0.792183,0
0.349102,0.810846,0
0.337414,0.816805,0
0.433497,0.754111,0
0.656991,0.592833,0
0.613712,0.627747,0
0.565029,0.66899,0
0.601886,0.616426,0
0.467079,0.736924,0
0.73959,0.523216,1
0.696761,0.558697,1
0.705921,0.554688,1
0.751426,0.508645,1
0.473714,0.723741,1
0.465116,0.735767,1
0.251678,0.864789,1
0.403708,0.775528,1
0.429916,0.757233,1
0.270832,0.862412,1
0.258926,0.876465,1
0.426213,0.769062,1
0.564503,0.672473,1
0.539067,0.693093,1
0.602543,0.636949,0
0.673241,0.576997,0
0.703814,0.560182,0
0.670763,0.584788,0
0.729727,0.51783,0
0.63363,0.616282,0
0.617021,0.623729,0
0.59029,0.621973,0
0.63619,0.588967,0
0.610161,0.63535,0
0.610788,0.633617,1
