@relation Dataset_T2_40d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute log_sigma_3_0_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_3_0_mm_3D_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_3_5_mm_3D_firstorder_RootMeanSquared numeric
@attribute log_sigma_4_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glcm_Correlation numeric
@attribute log_sigma_4_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_4_5_mm_3D_glcm_MCC numeric
@attribute log_sigma_4_5_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glszm_SmallAreaLowGrayLevelEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_5_0_mm_3D_firstorder_Variance numeric
@attribute log_sigma_5_0_mm_3D_glszm_SizeZoneNonUniformityNormalized numeric
@attribute log_sigma_5_0_mm_3D_ngtdm_Busyness numeric
@attribute wavelet_LLH_firstorder_Median numeric
@attribute wavelet_LLH_glcm_ClusterShade numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_LLH_glcm_MaximumProbability numeric
@attribute wavelet_LLH_gldm_DependenceEntropy numeric
@attribute wavelet_LLH_gldm_LargeDependenceLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_GrayLevelNonUniformityNormalized numeric
@attribute wavelet_LLH_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glszm_SmallAreaHighGrayLevelEmphasis numeric
@attribute wavelet_LHH_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_Median numeric
@attribute label {0,1}

@data
0.009714,0.074974,0.680274,0.156444,0.042527,0.314249,0.100713,0.216895,0.001293,0.554167,0.277873,0.520987,0.193962,0.372829,0.001699,0.398523,0.095498,0.352105,0.844068,0.30724,0.516943,0.670904,0.516943,0.260539,0.048611,0.24933,0.000625,0.217391,0.000863,0.967627,0.740411,0.090723,0.362672,0.197397,0.62985,0.991086,0.958553,0.396059,0.069475,0.770954,1
0.008689,0.186764,0.635781,0.238914,0.136505,0.353971,0.140798,0.162886,0.011015,0.400611,0.277249,0.398353,0.143738,0.508141,0.001971,0.56842,0.117878,0.244252,0.838813,0.310915,0.453292,0.68055,0.453292,0.301481,0.156154,0.736665,0.000215,0.087943,0.000269,0.976694,0.726375,0.064138,0.326548,0.203951,0.620811,0.989514,0.962725,0.267366,0.056529,0.780971,1
0.01115,0.062376,0.54692,0.431447,0.018255,0.268993,0.131373,0.104407,0.006005,0.467526,0.276545,0.481531,0.09057,0.614697,0.000193,0.446494,0.084469,0.345462,0.834105,0.30724,0.427912,0.665266,0.427912,0.301481,0.09026,0.787714,0.000087,0.11714,0.000264,0.973861,0.727826,0.012785,0.318942,0.145425,0.609221,0.990266,0.980095,0.104338,0.061198,0.789046,1
0.00779,0.116538,0.580588,0.410187,0.032857,0.196105,0.123991,0.065585,0,0.368593,0.279588,0.406196,0.101978,0.513195,0,0.438797,0.076446,0.306247,0.826373,0.312293,0.402616,0.637518,0.402616,0.303076,0.205361,0.630777,0,0.217391,0.000203,0.973665,0.727227,0.036207,0.319452,0.188363,0.616556,0.991707,0.985792,0.047982,0.059973,0.779248,1
0.005918,0.110534,0.482885,0.446738,0.045405,0.268108,0.100582,0.104625,0.017678,0.541933,0.274824,0.621196,0.083004,0.463912,0.003709,0.055995,0.027953,0.237392,0.803447,0.311634,0,1,0,0.302317,0.195946,0.581781,0.000669,0.236957,0.000243,0.956144,0.768999,0.136487,0.444016,0.147322,0.680556,0.991565,0.910018,0.387842,0.071643,0.783623,1
0.201162,0.245046,0.50542,0.37095,0.185708,0.092957,0.159666,0.105804,0.084118,0.319101,0.248142,0.239308,0.073599,0.464408,0.181113,0.761257,0.195512,0.165092,0.748947,0.271478,0.80887,0.325527,0.80887,0.241043,0.058272,0.682701,0.028168,0.413043,0.001339,0.946621,0.684823,0.09045,0.24718,0.245964,0.585427,0.988871,0.978112,0.060285,0.08441,0.687749,0
0.36079,0.232668,0.526784,0.53052,0.137565,0.075305,0.144192,0.076228,0.082034,0.336592,0.273156,0.391989,0.084274,0.51288,0.198288,0.5955,0.155209,0.307463,0.713917,0.206174,0.727087,0.452272,0.727087,0.248842,0.00625,0.415905,0.030722,0.295652,0.002015,0.915743,0.706073,0.145987,0.294527,0.23414,0.616926,0.99034,0.953373,0.043405,0.115053,0.708808,0
0.318222,0.156127,0.607113,0.311299,0.086704,0.097498,0.127613,0.0533,0.081347,0.249449,0.274311,0.280909,0.064347,0.585744,0.204644,0.626615,0.121226,0.098983,0.635774,0.291069,0.774792,0.323518,0.774792,0.297095,0.143334,0.707895,0.03504,0.119565,0.000381,0.907526,0.703638,0.138439,0.293163,0.157462,0.603804,0.990453,0.936731,0.2821,0.089434,0.711776,0
0.361523,0.147317,0.400548,0.602498,0.088288,0.031803,0.121218,0.062864,0.084887,0.421408,0.275744,0.361381,0.042187,0.452572,0.225338,0.514136,0.066506,0,0.488834,0.275476,0.783274,0.247824,0.783274,0.280035,0.239645,0.403039,0.049165,0.194754,0.000133,0.918984,0.702433,0.144932,0.294835,0.160302,0.618849,0.988803,0.90539,0.083471,0.103489,0.690094,0
0.320852,0.156559,0.227096,0.627516,0.114622,0.037682,0.109425,0.109368,0.108199,0.244341,0.277249,0.284998,0.145915,0.24955,0.234487,0.491673,0.063379,0.007662,0.50093,0.301465,0.690352,0.404162,0.690352,0.287125,0.129774,0.580584,0.063166,0.272368,0.000225,0.892363,0.724996,0.168352,0.348199,0.198571,0.632289,0.990637,0.910961,0.168101,0.110966,0.524593,0
