@relation Dataset_T2_40d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute label {0,1}

@data
0.178356,0.806107,0.485682,0.232322,1,0.446869,0.779682,0.057387,0.764249,0.210101,0.35015,0.335136,0.977337,0.631559,0.465278,0.213787,0,0.315559,0.280654,0.361249,0.223062,0.757179,0.190115,0.811421,0.885687,0.538503,0.483549,0.385049,0.332652,0.71913,0.384657,0.634294,0.776154,0.814341,0.631622,0.446798,0.656648,0.240074,0.823673,0.458678,1
0.123631,0.728104,0.430634,0.210096,0.911644,0.294697,0.597567,0.290841,0.971153,0.045005,0.346795,0.428581,0.846513,0.458614,0.552275,0.407482,0.512657,0.350714,0.270447,0.614258,0.308111,0.484511,0.516879,0.314306,0.603938,0.602855,0.611664,0.464505,0.414793,0.521425,0.143576,0.638077,0.667768,0.751087,0.635667,0.700159,0.479182,0.626511,0.634497,0.795558,1
0.067299,0.675688,0.317054,0.268362,0.925352,0.314485,0.724303,0.492339,0.897082,0.112625,0.425514,0.327787,0.99295,0.405482,0.56497,0.557547,0.61935,0.364417,0.179257,0.530333,0.242629,0.403746,0.337901,0.127037,0.639255,0.530284,0.499522,0.307247,0.361454,0.742739,0.329768,0.625132,0.542694,0.972301,0.916237,0.541098,0.424156,0.421163,0.808005,0.674718,1
0.015739,0.609217,0.308642,0.266545,0.888043,0.29138,0.602605,0.408139,1,0.091452,0.521375,0.412056,0.909681,0.414086,0.396792,0.468784,0.792054,0.610967,0.470035,0.398042,0.490702,0.926381,0.398811,0.571529,0.686256,0.654996,0.552921,0.430654,0.364057,0.652236,0.091789,0.568232,0.613576,0.78333,0.631275,0.528819,0.263947,0.513906,0.298664,0.381629,1
0,0.55598,0.400527,0.216675,0.859125,0.279184,0.823282,0.277543,0.877261,0,0.293791,0.362342,0.743827,0.250152,0.556278,0.675714,0.923631,0.640216,0.307657,0.488456,0.805039,0.312395,0.664129,0.723752,0.809792,0.659605,0.611721,0.2615,0.397157,0.617302,0.202036,0.47723,0.766283,0.547236,0.590687,0.591888,0.589833,0.643676,0.406694,0.581954,1
0.363039,0.727987,0.457971,0.209198,0.301064,0.516998,0.43718,0.471996,0.738507,0.622111,0.666182,0.273796,0.288092,0.68516,0.541134,0.290444,0.446384,0.340869,0.436259,0.787864,0.341646,0.722696,0.223037,0.388354,0.754381,0.496127,0.480299,0.491167,0.410674,0.828185,0.64946,0.57109,0.436779,0.659592,0.811204,0.600158,0.494179,0.518449,0.38726,0.020946,0
0.356321,0.682925,0.425906,0.273342,0.314485,0.673042,0.621013,0.619424,0.644812,0.889768,0.802688,0.029656,0.392958,0.498949,0.461926,0.564452,0.718899,0.187532,0.155529,0.459999,0.342138,0.463111,0.428617,0.209354,0.614676,0.314819,0.564594,0.44431,0.600598,0.750837,0.596633,0.47741,0.546179,0.412499,0.729058,0.981539,0.811318,0.417321,0.394556,0.637437,0
0.318636,0.608716,0.536087,0.124221,0.224454,0.377396,0.399588,0.613795,0.807377,0.669963,0.704588,0.266965,0,1,0.579443,0.428077,0.725704,0.237076,0.273166,0.377094,0.362156,0.754127,0.267215,0.585765,0.564312,0.306256,0.691613,0.459171,0.518142,0.687076,0.916867,0.639834,0.574863,0.385294,0.617117,0.572647,0.505284,0.502647,0.304625,0.888476,0
0.20596,0.427302,0.506689,0.171261,0.008681,0.312479,0.187455,0.909466,0.677151,0.600729,0.464168,0.119892,0.535119,0.200738,0.406513,0.546288,0.498826,0.29788,0.397101,0.18288,0.601287,0.762353,0.38162,0.328851,0.803758,0.801332,0.691928,0.246004,0.755381,0.371857,0.760383,0.529633,0.529744,0.265788,0.537681,0.692017,0.322636,0.74618,0.591535,0.46637,0
0.243375,0.429398,0.603842,0.012541,0.039627,0.571038,0.082477,0.594054,0.603041,0.484261,0,0.057252,0.388497,0.621372,0,0.4576,0.28455,0.535125,0.556817,0.627391,0.7831,0.999225,0.371653,0.111659,0.455304,0.564874,0.526172,0.514192,0.293657,0.618642,0.843639,0.253551,0.49273,0.175672,0,0.501522,0.739588,0.81413,0.808454,0.416248,0
