@relation Dataset_T2_40d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute wavelet_HLL_glcm_Contrast numeric
@attribute wavelet_LLH_glcm_MCC numeric
@attribute wavelet_HLL_glcm_MCC numeric
@attribute wavelet_HLL_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_HLL_glrlm_RunPercentage numeric
@attribute wavelet_HLL_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_glcm_ClusterTendency numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_LLH_gldm_DependenceNonUniformityNormalized numeric
@attribute log_sigma_2_5_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_glrlm_RunPercentage numeric
@attribute wavelet_LLH_gldm_DependenceVariance numeric
@attribute wavelet_LLL_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_gldm_SmallDependenceEmphasis numeric
@attribute wavelet_HHL_glrlm_LongRunEmphasis numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_DifferenceEntropy numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute original_glcm_Correlation numeric
@attribute wavelet_HHL_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_RobustMeanAbsoluteDeviation numeric
@attribute original_glcm_MCC numeric
@attribute label {0,1}

@data
0.94332,0.236756,1,0.076171,0.317488,0.838777,1,0.687061,1,0.090723,0.686649,0.901629,0.289683,0.140047,0.074272,0.12981,0.686179,0.118861,0.181348,0.329371,0.669756,0.668084,0.244432,0.463344,0.205169,0.600417,0.504971,0.709497,0.198143,0.239508,0.63037,0.805174,0,0.554167,0.754523,0.314249,1,0,0.001179,1,1
0.907576,0.283451,1,0.147247,0.356602,0.778582,1,0.653003,1,0.064138,0.652611,0.933376,0.339953,0.222219,0.076768,0.030095,0.652164,0.021424,0.221374,0.376209,0.619589,0.60107,0.280165,0.443056,0.200511,0.603643,0.476528,0.714525,0.197049,0.201795,0.630765,0.786768,0.037649,0.400611,0.729361,0.353971,1,0.05544,0.000928,1,1
0.849362,0.367752,1,0.202972,0.426358,0.733011,1,0.58663,1,0.012785,0.586278,0.982487,0.407129,0.28032,0.058326,0.058732,0.585876,0.057236,0.292758,0.443021,0.556109,0.544717,0.337161,0.377471,0.164219,0.662356,0.428392,0.749702,0.158767,0.217243,0.677595,0.784885,0.023453,0.467526,0.685958,0.268993,1,0.043922,0.003203,1,1
1,0.183331,1,0.019961,0.270744,0.847303,1,0.736417,1,0.036207,0.735975,0.960997,0.264921,0.071236,0.086986,0.022361,0.735471,0.02172,0.133514,0.299058,0.692664,0.68729,0.212646,0.387469,0.191085,0.626736,0.466073,0.724318,0.191994,0.189943,0.660348,0.718731,0.079627,0.368593,0.799927,0.196105,1,0.090892,0,1,1
0.873687,0.356063,1,0.142974,0.414801,0.726589,1,0.596912,1,0.136487,0.596554,0.839577,0.403981,0.18249,0.157207,0.054233,0.596145,0.046335,0.280931,0.43156,0.558582,0.550045,0.326705,0.358164,0.275171,0.622553,0.360364,0.631159,0.188218,0.210756,0.563926,0.669562,0.048004,0.541933,0.703843,0.268108,1,0.060874,0.009996,1,1
0.586293,0.654226,0,0.334305,0.670221,0.354941,0.380389,0.33998,0.108549,0.09045,0.339776,0.921502,0.604205,0.289621,0.112513,0.11817,0.339544,0.131875,0.542309,0.625869,0.344765,0.302222,0.512388,0.274556,0.192819,0.58893,0.39078,0.73006,0.246307,0.168237,0.660282,0.380315,0.293863,0.319101,0.476268,0.092957,0.656769,0.335887,0.158323,0.656725,0
0.52072,0.698976,0,0.389468,0.710732,0.257194,0.475462,0.306966,0.051966,0.145987,0.306782,0.862197,0.654243,0.315729,0.168628,0.108691,0.306572,0.122868,0.583765,0.664784,0.30145,0.252364,0.555777,0.228895,0.249607,0.647699,0.347638,0.670175,0.268181,0.156205,0.60879,0.153078,0.298148,0.336592,0.432693,0.075305,0.581479,0.346256,0.194715,0.581425,0
0.531568,0.692499,0,0.363267,0.704564,0.324069,0.77871,0.313765,0.068881,0.138439,0.313576,0.869501,0.626541,0.306542,0.115097,0.122487,0.313361,0.138178,0.577454,0.647887,0.32722,0.282465,0.552265,0.202165,0.219496,0.789505,0.279716,0.697049,0.222697,0.314853,0.633529,0.22614,0.291774,0.249449,0.441705,0.097498,0.541871,0.322631,0.193669,0.541812,0
0.257526,0.863275,0,0.512266,0.592072,0.395071,0.846059,0.291154,0.085066,0.144932,0.435778,0.862529,0.816893,0.523688,0.167119,0.099388,0.606332,0.115928,0.959648,0.648384,0.332472,0.312265,0.825176,0.122892,0.249766,0.734306,0.204846,0.65895,0.188635,0.131747,0.605611,0.2723,0.329635,0.421408,0.884188,0.031803,0.537602,0.331321,0.236648,0.537542,0
0.180155,0.929591,0,0.499779,0.563347,0.455493,0.867226,0.24835,0.040721,0.168352,0.452154,0.832616,0.860214,0.544199,0.136951,0.181095,0.721254,0.185258,1,0.657267,0.333725,0.330194,0.971093,0.213115,0.254252,0.639154,0.280724,0.658384,0.220004,0.157272,0.603845,0.455768,0.388186,0.244341,1,0.037682,0.589892,0.44662,0.251794,0.589839,0
