@relation Dataset_T2_6d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute label {0,1}

@data
0.009714,0.074974,0.680274,0.156444,0.042527,0.314249,1
0.008689,0.186764,0.635781,0.238914,0.136505,0.353971,1
0.01115,0.062376,0.54692,0.431447,0.018255,0.268993,1
0.00779,0.116538,0.580588,0.410187,0.032857,0.196105,1
0.005918,0.110534,0.482885,0.446738,0.045405,0.268108,1
0.201162,0.245046,0.50542,0.37095,0.185708,0.092957,0
0.36079,0.232668,0.526784,0.53052,0.137565,0.075305,0
0.318222,0.156127,0.607113,0.311299,0.086704,0.097498,0
0.361523,0.147317,0.400548,0.602498,0.088288,0.031803,0
0.320852,0.156559,0.227096,0.627516,0.114622,0.037682,0
0.007352,0.136466,0.67966,0.319639,0.105425,0.352549,0
0.011155,0.517423,0.651831,0.271264,0.266592,0.645471,0
0.0104,0.496564,0.624192,0.370885,0.37818,0.775669,0
0.009465,0.437702,0.735563,0.305036,0.331474,0.458826,0
0.009281,0.415014,0.712992,0.334084,0.324336,0.352645,0
0.008446,0.409536,0.746084,0.218343,0.243878,0.318977,0
0.010431,0.243456,0.394578,0.414092,0.065344,0.49185,0
0.00825,0.208145,0.392463,0.489802,0.111971,0.424978,0
0.008229,0.20753,0.467323,0.402946,0.200783,0.400014,0
0.006439,0.151282,0.571788,0.443296,0.182881,0.393486,0
0.002449,0.148518,0.488224,0.412405,0.066539,0.283919,0
0.035546,0.315373,0.453104,0.517376,0.15332,0.436572,1
0.021903,0.408209,0.676182,0.464872,0.379888,0.465716,1
0.021066,0.325089,0.592726,0.501358,0.437043,0.337115,1
0.009975,0.146467,0.562568,0.677859,0.168588,0.367384,1
0.008567,0.146877,0.515996,0.343,0.060769,0.413604,1
0.007886,0.155876,0.641972,0.427726,0.133371,0.232778,1
0.00841,0.120421,0.524596,0.524872,0.079089,0.283802,1
0.014368,0.569412,0.587253,0.360156,0.300775,0.568922,1
0.014552,0.851552,0.63171,0.276885,0.538304,0.818766,1
0.01405,0.359037,0.490532,0.460421,0.228536,0.45382,1
0.009073,0.156062,0.634674,0.331005,0.136959,0.255999,1
0.002973,0.165265,0.578947,0.372301,0.090656,0.325399,1
0.005366,0.447224,0.623208,0.209464,0.137886,0.395916,0
0.007336,0.132308,0.783266,0.187395,0.114187,0.439117,0
0.01309,0.228089,0.841931,0.243901,0.287205,0.229489,0
0.014621,0.450986,0.728033,0.261373,0.259274,0.086395,0
0.015291,0.441881,0.687626,0.318192,0.460023,0.255265,0
0.032689,1,0.684086,0.180222,0.51118,0.868924,0
0.033733,0.899056,0.802041,0.155715,0.686932,0.754325,0
0.02407,0.399658,0.660237,0.356001,0.317838,0.263444,0
0.029594,0.236219,0.560329,0.374839,0.243843,0.366504,0
0.004395,0.695411,0.844533,0.054067,0.488119,0.878846,0
0.007228,0.295787,0.838938,0.100795,0.385768,0.556224,0
0.006312,0.161004,0.872644,0.087534,0.306598,0.351118,0
0.014735,0.132444,0.808734,0.125174,0.304148,0.397542,0
0.007196,0.211994,0.811697,0.115644,0.346872,0.432926,0
0.009409,0.554576,0.927054,0,0.492259,0.666003,0
0.01379,0.623983,0.806024,0.077789,0.574645,0.715023,0
0.005473,0.459771,0.943292,0.024874,0.513523,0.53002,0
0.007925,0.374086,0.893852,0.178396,0.475102,0.456394,0
0.002662,0.19748,0.682095,0.264232,0.291861,0.53129,0
0.006408,0.494545,0.766583,0.174391,0.423455,0.59649,0
0.007741,0.428695,0.718173,0.322819,0.444753,0.766735,0
0.009294,0.370363,0.633214,0.438304,0.376808,0.530427,0
0.007289,0.148143,0.610455,0.376831,0.16754,0.21858,0
0.003686,0.303368,0.48773,0.453465,0.315002,0.042958,0
0.012697,0.429486,0.653237,0.306868,0.388333,0.768412,0
0.00894,0.591327,0.632796,0.338586,0.371585,0.783263,0
0.011984,0.754849,0.706209,0.239548,0.482973,0.64544,0
0.009579,0.379658,0.748715,0.250609,0.423511,0.553349,0
0.007058,0.267964,0.85403,0.342894,0.411714,0.631514,0
0.0041,0.259264,0.284319,0.617728,0.206511,0.536606,0
0.004276,0.251034,0.385518,0.59691,0.23739,0.312556,0
0.006352,0.249312,0.340762,0.630316,0.302593,0.348709,0
0.00489,0.239587,0.499303,0.469889,0.232726,0.384273,0
0.005351,0.247619,0.5015,0.339905,0.121528,0.490422,0
0.011274,0.741689,0.964921,0.088647,0.547296,0.86152,0
0.009326,0.45449,0.922306,0.186549,0.525952,0.768848,0
0.010768,0.420475,1,0.203766,0.583126,0.659009,0
0.008495,0.780276,0.998009,0.106514,1,0.880289,0
0.005969,0.509361,0.840427,0.088839,0.702778,0.730216,0
0.009846,0.339812,0.632412,0.254272,0.292384,0.435669,1
0.010118,0.666219,0.658442,0.282619,0.292261,0.541956,1
0.007625,0.410965,0.663728,0.337431,0.275674,0.531299,1
0.00537,0.13235,0.41129,0.514329,0.066685,0.383999,1
0.030396,0.379372,0.467642,0.390353,0.20608,0.478238,1
0.011157,0.271043,0.160867,0.866822,0.041134,0.505879,1
0.006948,0.404111,0.651795,0.319103,0.263805,0.479548,0
0.008582,0.156483,0.507785,0.512725,0.113694,0.22525,0
0.008874,0.238368,0.485031,0.502496,0.182892,0.21555,0
0.0097,0.279375,0.531432,0.561741,0.253581,0.064952,0
0.007014,0.37386,0.436038,0.561572,0.313886,0.022963,0
0.01354,0.224667,0.556349,0.34183,0.017527,0.310601,1
0.00962,0.122327,0.654337,0.267639,0.069807,0.269913,1
0.009525,0.082307,0.605148,0.377983,0.064052,0.253474,1
0.008106,0.046979,0.549271,0.426529,0.025629,0.265244,1
0.003819,0.117274,0.513951,0.353181,0.046038,0.254308,1
0.012536,0.781706,0.735587,0.437867,0.50355,0.961352,0
0.009351,0.852096,0.593506,0.54483,0.613305,1,0
0.010316,0.692904,0.800807,0.417379,0.612712,0.843768,0
0.011384,0.315525,0.698137,0.371812,0.309638,0.523951,0
0.005202,0.249129,0.644764,0.492382,0.213337,0.431682,0
0.032387,0.634822,0.555103,0.350782,0.418807,0.801543,0
0.023899,0.330837,0.511239,0.398911,0.322182,0.694763,0
0.022778,0.27992,0.491312,0.526449,0.277788,0.526793,0
0.011385,0.169134,0.397051,0.683479,0.214871,0.444112,0
0.008878,0.250313,0.529706,0.435739,0.343382,0.426035,0
0.006474,0.466184,0.774719,0.126548,0.333062,0.586148,0
0.009025,0.34492,0.615815,0.361442,0.340869,0.673528,0
0.010317,0.183561,0.838897,0.233819,0.269852,0.35576,0
0.006258,0.211913,0.662274,0.282358,0.271728,0.464714,0
0.006987,0.29614,0.458568,0.372494,0.295427,0.472588,0
0.011858,0.202763,0.569326,0.43005,0.145268,0.392414,1
0.011193,0.082827,0.612437,0.505343,0.145999,0.383991,1
0.011703,0.021232,0.593823,0.69628,0.005057,0.247268,1
0.008094,0.110239,0.356597,0.674536,0.089556,0.17532,1
0.006281,0.512541,0.641206,0.236058,0.425083,0.482094,1
0.007059,0.418036,0.753798,0.201909,0.371524,0.394284,1
0.006865,0.365144,0.680593,0.215449,0.299559,0.419849,1
0.007171,0.126648,0.688842,0.222133,0.154192,0.203799,1
0.006182,0.287949,0.555297,0.354791,0.180963,0.106139,1
0.008216,0.434361,0.586095,0.507248,0.387415,0.836455,1
0.047091,0.400575,0.770951,0.549618,0.344988,0.557235,1
0.013508,0.343597,0.709285,0.634205,0.471644,0.507358,1
0.009776,0.323046,0.66859,0.745612,0.384766,0.348652,1
0.014459,0.253205,0.560153,0.688452,0.271863,0.169285,1
