@relation Dataset_T2_6d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute label {0,1}

@data
0.178356,0.806107,0.485682,0.232322,1,0.446869,1
0.123631,0.728104,0.430634,0.210096,0.911644,0.294697,1
0.067299,0.675688,0.317054,0.268362,0.925352,0.314485,1
0.015739,0.609217,0.308642,0.266545,0.888043,0.29138,1
0,0.55598,0.400527,0.216675,0.859125,0.279184,1
0.363039,0.727987,0.457971,0.209198,0.301064,0.516998,0
0.356321,0.682925,0.425906,0.273342,0.314485,0.673042,0
0.318636,0.608716,0.536087,0.124221,0.224454,0.377396,0
0.20596,0.427302,0.506689,0.171261,0.008681,0.312479,0
0.243375,0.429398,0.603842,0.012541,0.039627,0.571038,0
0.305866,0.72884,0.432655,0.351383,0.310103,0.247687,0
0.289778,0.879954,0.24514,0.417615,0.579006,0.45264,0
0.275412,0.869598,0.1916,0.498152,0.576908,0.445726,0
0.233735,0.786795,0.174452,0.516806,0.456923,0.536371,0
0.17248,0.724904,0.118501,0.553102,0.628096,0.396726,0
0.229431,0.769685,0.174428,0.539821,0.600818,0.451935,0
0.384318,0.914972,0.332757,0.380545,0.455179,0.745663,0
0.365763,0.906801,0.426121,0.318468,0.491103,0.760387,0
0.293488,0.850274,0.369179,0.272999,0.636323,0.609718,0
0.200471,0.754002,0.289316,0.343861,0.550577,0.281094,0
0.222313,0.739753,0.416223,0.210167,0.661704,0.461745,0
0.259594,0.666396,0.297072,0.458261,0.358765,0.664287,1
0.206411,0.673262,0.174518,0.525822,0.420936,0.619621,1
0.148319,0.567114,0.284792,0.407687,0.390227,0.49156,1
0.181446,0.619518,0.281638,0.472335,0.429955,0.5321,1
0.302037,0.720761,0.482778,0.217368,0.278144,0.379632,1
0.201642,0.628854,0.315932,0.350711,0.327116,0.3691,1
0.228782,0.619534,0.391694,0.327558,0.336792,0.41843,1
0.350531,0.846136,0.244565,0.556388,0.354192,0.565843,1
0.326018,0.868598,0.257677,0.565769,0.451408,0.591561,1
0.256716,0.775269,0.16666,0.585173,0.509237,0.68268,1
0.2172,0.768005,0.272105,0.438443,0.501006,0.051714,1
0.190777,0.684312,0.316066,0.308923,0.52684,0.249515,1
0.392836,0.97716,0.425089,0.330004,0.521698,0.315323,0
0.350857,0.928122,0.367576,0.365293,0.5533,0.380562,0
0.243721,0.792337,0.263455,0.475478,0.517389,0.200043,0
0.224726,0.712885,0.309347,0.479511,0.344678,0.194368,0
0.254778,0.751753,0.226463,0.581996,0.350883,0.333596,0
0.445809,0.91921,0.410271,0.387065,0.323408,0.497625,0
