@relation Dataset_T2_6d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute label {0,1}

@data
0.94332,0.236756,1,0.076171,0.317488,0.838777,1
0.907576,0.283451,1,0.147247,0.356602,0.778582,1
0.849362,0.367752,1,0.202972,0.426358,0.733011,1
1,0.183331,1,0.019961,0.270744,0.847303,1
0.873687,0.356063,1,0.142974,0.414801,0.726589,1
0.586293,0.654226,0,0.334305,0.670221,0.354941,0
0.52072,0.698976,0,0.389468,0.710732,0.257194,0
0.531568,0.692499,0,0.363267,0.704564,0.324069,0
0.257526,0.863275,0,0.512266,0.592072,0.395071,0
0.180155,0.929591,0,0.499779,0.563347,0.455493,0
0.531499,0.690246,0,0.41509,0.703084,0.331883,0
0.566185,0.644727,1,0.461041,0.665225,0.388069,0
0.643048,0.601764,1,0.379212,0.624096,0.44363,0
0.597528,0.637439,0.000001,0.432909,0.656038,0.383652,0
0.6398,0.607167,1,0.384171,0.628746,0.374203,0
0.552987,0.676865,1,0.466422,0.690538,0.306789,0
0.525543,0.693571,0,0.398652,0.706122,0.325027,0
0.632401,0.618145,0,0.292978,0.638244,0.440306,0
0.569678,0.659627,1,0.384684,0.676108,0.330762,0
0.660931,0.587179,1,0.360777,0.611823,0.431943,0
0.65696,0.59318,1,0.324866,0.617238,0.40079,0
0.513204,0.700267,0,0.516439,0.712983,0.300043,1
0.641287,0.610053,0,0.365454,0.630517,0.355247,1
0.717276,0.54569,0,0.276238,0.573701,0.434651,1
0.644762,0.61055,0,0.371355,0.630381,0.397002,1
0.494853,0.710529,0,0.474309,0.722491,0.332043,1
0.495599,0.716586,0,0.504016,0.726957,0.276792,1
0.57461,0.661959,0,0.406065,0.677742,0.374879,1
0.452788,0.724491,0,0.594942,0.738001,0.222786,1
0.563506,0.647997,0,0.458462,0.667985,0.290088,1
0.515418,0.693671,0.000001,0.530522,0.707611,0.271016,1
0.57532,0.649361,1,0.452771,0.667675,0.336738,1
0.541551,0.673747,1,0.477637,0.690211,0.336922,1
0.525485,0.694233,1,0.424457,0.706513,0.369859,0
0.564488,0.66862,1,0.400401,0.682823,0.334943,0
0.620251,0.623748,1,0.371788,0.64301,0.392056,0
0.587923,0.653001,0,0.386822,0.668417,0.366386,0
0.605501,0.636598,0,0.381276,0.65442,0.34003,0
0.503357,0.713434,0,0.432161,0.723493,0.361461,0
0.55926,0.670067,0,0.39346,0.684504,0.338847,0
0.153584,0.930807,0,0.757448,0.661436,0.335383,0
0.192557,0.895313,0,0.817422,0.752246,0.232911,0
0.42278,0.769997,0,0.482602,0.774665,0.242974,0
0.417228,0.764265,0,0.543661,0.771309,0.261076,0
0.418638,0.75761,0,0.568294,0.766687,0.26737,0
0.420135,0.76386,0,0.51433,0.771025,0.224891,0
0.425045,0.764083,0,0.49147,0.770403,0.207296,0
0.454352,0.744683,0,0.498746,0.752537,0.314964,0
0.417999,0.756472,0,0.56707,0.76567,0.249848,0
0.467129,0.7256,0,0.508275,0.736886,0.290357,0
0.507795,0.682994,0,0.540123,0.628257,0.406277,0
0.483825,0.709718,0,0.459218,0.645026,0.397316,0
0.67232,0.579768,0,0.304388,0.604616,0.50528,0
0.636113,0.608036,1,0.358852,0.630046,0.382534,0
0.609357,0.621999,1,0.415017,0.643623,0.354539,0
0.620912,0.622108,1,0.391895,0.641881,0.426631,0
0.59315,0.626791,1,0.418937,0.612648,0.474768,0
0.573617,0.654452,1,0.425594,0.671627,0.395444,0
